config,instances,solved,timeouts,build_mean_ms,build_median_ms,solve_mean_ms,solve_median_ms,solve_p95_ms,solve_max_ms,total_mean_ms,total_median_ms,total_p95_ms,total_max_ms,par2_solve_s,par2_total_s
our-cadical,2897,2897,0,17.733358,13.483500,1.116697,0.893300,2.338620,36.905000,18.860282,14.374100,44.468520,298.743600,0.001117,0.018860
our-cpsat,2897,2897,0,105.508390,78.005700,23.034602,16.565800,58.647460,638.391000,128.882539,94.543200,309.034480,2465.199900,0.023035,0.128883
our-scip,2897,2897,0,153.161563,114.043100,170.855317,69.296300,394.236900,101430.132600,325.684662,187.166700,759.360720,102486.765700,0.170855,0.325685
demaine-cadical,2897,2897,0,14.309414,9.583700,1.011260,0.755200,2.301140,55.938300,15.327804,10.353700,43.842580,305.212000,0.001011,0.015328
demaine-cpsat,2897,2897,0,67.780424,40.589600,28.143142,16.816600,95.465320,930.939600,96.252995,57.648500,311.971900,3348.483400,0.028143,0.096253
demaine-scip,2897,2897,0,63.338056,39.692900,90.166219,22.998500,256.523760,26520.465900,154.752813,64.190400,447.438600,27489.822900,0.090166,0.154753
