family,instance_index,name,rows,cols,playable,formulation,backend,config,vars,constraints,nonzeros,build_ms,solve_ms,engine_ms,total_ms,build_samples_ms,solve_samples_ms,engine_samples_ms,total_samples_ms,result,geometry_valid,cnf_valid,repetitions,statuses
artificial,3,artificial_n=15,32,32,480,demaine-a-f,scip,demaine-scip,2400,23812,126964,466.147300,241.387000,239.136300,707.534300,"[585.1532, 417.4492, 466.1473]","[294.107, 224.6479, 241.387]","[292.5356, 219.5284, 239.1363]","[879.2602, 642.0971, 707.5343]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,3,artificial_n=15,32,32,480,demaine-a-f,cp-sat,demaine-cpsat,2400,23812,126964,536.587900,192.515500,187.630500,724.925600,"[760.6442, 536.5879, 532.4101]","[243.6273, 158.9786, 192.5155]","[239.6517, 154.9883, 187.6305]","[1004.2715, 695.5665, 724.9256]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,4,artificial_n=20,42,42,840,ours-cnf,cadical195,our-cadical,10584,105708,274756,199.325500,5.942000,0.403100,205.267500,"[299.407, 199.3255, 178.0825]","[6.0453, 5.942, 5.8351]","[0.3996, 0.4031, 0.4299]","[305.4523, 205.2675, 183.9176]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,4,artificial_n=20,42,42,840,ours-cnf,cp-sat,our-cpsat,10584,105708,274756,1148.855800,230.123500,203.613200,1379.302300,"[1171.0291, 1148.8558, 1121.6542]","[230.1235, 230.4465, 219.1013]","[203.6132, 213.5789, 202.7204]","[1401.1526, 1379.3023, 1340.7555]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,4,artificial_n=20,42,42,840,ours-cnf,scip,our-scip,10584,105708,274756,1810.753000,971.782500,961.734900,2782.535500,"[1602.4016, 2019.0146, 1810.753]","[843.5441, 1131.6245, 971.7825]","[835.2925, 1122.8125, 961.7349]","[2445.9457, 3150.6391, 2782.5355]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,4,artificial_n=20,42,42,840,demaine-a-f,cadical195,demaine-cadical,4200,59084,350744,183.424300,3.172600,0.191000,186.842600,"[269.388, 179.9087, 183.4243]","[3.1726, 2.9969, 3.4183]","[0.2015, 0.1778, 0.191]","[272.5606, 182.9056, 186.8426]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,4,artificial_n=20,42,42,840,demaine-a-f,scip,demaine-scip,4200,50152,332424,1092.337100,572.612300,569.694500,1648.531000,"[939.6622, 1092.3371, 1104.2487]","[572.6123, 556.1939, 584.5506]","[569.6945, 553.2331, 580.981]","[1512.2745, 1648.531, 1688.7993]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,4,artificial_n=20,42,42,840,demaine-a-f,cp-sat,demaine-cpsat,4200,50152,332424,1334.839900,462.217300,453.583600,1780.487400,"[1335.9691, 1334.8399, 1280.1133]","[467.8028, 445.6475, 462.2173]","[459.7271, 439.0488, 453.5836]","[1803.7719, 1780.4874, 1742.3306]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,5,artificial_n=25,52,52,1300,ours-cnf,cadical195,our-cadical,16224,162608,421936,367.106300,8.787300,0.696600,375.893600,"[367.1063, 437.3649, 305.5242]","[8.7873, 9.9917, 8.7797]","[0.6966, 0.7485, 0.6158]","[375.8936, 447.3566, 314.3039]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,5,artificial_n=25,52,52,1300,ours-cnf,cp-sat,our-cpsat,16224,162608,421936,1779.209500,372.759100,343.918400,2151.968600,"[1779.2095, 1683.0762, 1838.6872]","[372.7591, 402.7438, 352.2988]","[343.9184, 373.9483, 325.6416]","[2151.9686, 2085.82, 2190.986]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,5,artificial_n=25,52,52,1300,ours-cnf,scip,our-scip,16224,162608,421936,2816.898600,1854.225800,1841.055900,4785.417600,"[2517.288, 2816.8986, 2931.1918]","[1612.5084, 2003.573, 1854.2258]","[1598.3548, 1990.7723, 1841.0559]","[4129.7964, 4820.4716, 4785.4176]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,5,artificial_n=25,52,52,1300,demaine-a-f,cadical195,demaine-cadical,6500,104364,755704,355.102100,4.514200,0.261400,359.616300,"[458.7664, 346.0901, 355.1021]","[6.4047, 4.3307, 4.5142]","[0.2614, 0.2403, 0.2747]","[465.1711, 350.4208, 359.6163]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,5,artificial_n=25,52,52,1300,demaine-a-f,scip,demaine-scip,6500,90692,727784,2124.226600,1162.835000,1157.681000,3287.061600,"[2211.7337, 1983.6675, 2124.2266]","[1322.4615, 1156.0309, 1162.835]","[1317.7653, 1151.5009, 1157.681]","[3534.1952, 3139.6984, 3287.0616]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,5,artificial_n=25,52,52,1300,demaine-a-f,cp-sat,demaine-cpsat,6500,90692,727784,2709.384800,907.901200,897.282800,3610.244800,"[2891.7241, 2709.3848, 2565.2561]","[907.9012, 900.86, 948.5627]","[897.2828, 889.3132, 935.8044]","[3799.6253, 3610.2448, 3513.8188]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,6,artificial_n=30,62,62,1860,ours-cnf,cadical195,our-cadical,23064,231708,600516,483.635800,12.568700,0.842300,496.204500,"[494.9399, 483.6358, 460.6294]","[12.897, 12.5687, 12.141]","[0.8423, 1.1703, 0.7585]","[507.8369, 496.2045, 472.7704]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,6,artificial_n=30,62,62,1860,ours-cnf,cp-sat,our-cpsat,23064,231708,600516,2688.441000,534.111300,495.246600,3183.489500,"[2369.7673, 2688.441, 2689.9941]","[543.7507, 534.1113, 493.4954]","[495.7324, 495.2466, 455.2258]","[2913.518, 3222.5523, 3183.4895]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,6,artificial_n=30,62,62,1860,ours-cnf,scip,our-scip,23064,231708,600516,3869.592000,2751.524600,2729.288300,6621.116600,"[3590.1022, 3869.592, 6058.3438]","[2469.237, 2751.5246, 2822.3454]","[2447.433, 2729.2883, 2802.3172]","[6059.3392, 6621.1166, 8880.6892]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,6,artificial_n=30,62,62,1860,demaine-a-f,cadical195,demaine-cadical,9300,167844,1447564,714.521000,6.897000,0.423900,721.193600,"[717.7676, 714.521, 638.1314]","[6.897, 6.6726, 7.9688]","[0.4239, 0.3876, 0.4532]","[724.6646, 721.1936, 646.1002]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,6,artificial_n=30,62,62,1860,demaine-a-f,scip,demaine-scip,9300,148432,1408044,3461.115600,2244.370000,2236.987400,5749.646200,"[3442.6683, 3543.7359, 3461.1156]","[2306.9779, 2244.37, 2244.1154]","[2299.6045, 2234.9598, 2236.9874]","[5749.6462, 5788.1059, 5705.231]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,6,artificial_n=30,62,62,1860,demaine-a-f,cp-sat,demaine-cpsat,9300,148432,1408044,4956.536600,1849.380700,1832.057400,6792.196900,"[4750.1949, 5050.421, 4956.5366]","[2042.002, 1849.3807, 1737.3025]","[2024.7773, 1832.0574, 1721.8695]","[6792.1969, 6899.8017, 6693.8391]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,7,artificial_n=40,82,82,3280,ours-cnf,cadical195,our-cadical,40344,406508,1051876,994.504900,24.612300,1.547200,1019.117200,"[994.5049, 1023.2062, 820.6223]","[24.6123, 24.9738, 23.5234]","[1.5472, 1.5969, 1.3386]","[1019.1172, 1048.18, 844.1457]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,7,artificial_n=40,82,82,3280,ours-cnf,cp-sat,our-cpsat,40344,406508,1051876,4972.692100,957.051000,886.665800,5916.558600,"[4972.6921, 4732.0363, 5849.7353]","[943.8665, 957.051, 2025.0791]","[867.5966, 886.6658, 1922.1579]","[5916.5586, 5689.0873, 7874.8144]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,7,artificial_n=40,82,82,3280,ours-cnf,scip,our-scip,40344,406508,1051876,7671.512200,4881.409700,4837.990800,12405.319600,"[8436.5533, 6560.1114, 7671.5122]","[5017.8134, 4881.4097, 4733.8074]","[4982.7557, 4837.9908, 4698.3793]","[13454.3667, 11441.5211, 12405.3196]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,7,artificial_n=40,82,82,3280,demaine-a-f,cadical195,demaine-cadical,16400,361404,4171984,1836.578000,11.936400,0.747200,1848.514400,"[1887.8345, 1733.347, 1836.578]","[11.7189, 12.1476, 11.9364]","[0.7819, 0.7472, 0.6599]","[1899.5534, 1745.4946, 1848.5144]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,7,artificial_n=40,82,82,3280,demaine-a-f,scip,demaine-scip,16400,327512,4103264,9451.123000,6943.448500,6930.032000,16394.571500,"[8971.6967, 9451.123, 10071.9915]","[6428.7511, 6943.4485, 10527.8152]","[6414.1131, 6930.032, 10510.4923]","[15400.4478, 16394.5715, 20599.8067]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,7,artificial_n=40,82,82,3280,demaine-a-f,cp-sat,demaine-cpsat,16400,327512,4103264,13126.164700,4842.282700,4811.341800,17854.671100,"[13012.3884, 13126.1647, 14508.8845]","[4842.2827, 4589.3445, 5085.7211]","[4811.3418, 4558.8955, 5051.772]","[17854.6711, 17715.5092, 19594.6056]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,8,artificial_n=50,102,102,5100,ours-cnf,cadical195,our-cadical,62424,630108,1628836,1545.196700,41.249700,2.521600,1586.446400,"[1672.3482, 1545.1967, 1329.9896]","[41.7205, 41.2497, 38.1393]","[2.5216, 2.5688, 2.3647]","[1714.0687, 1586.4464, 1368.1289]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,8,artificial_n=50,102,102,5100,ours-cnf,cp-sat,our-cpsat,62424,630108,1628836,7553.050300,1486.355300,1339.222100,9054.086700,"[7367.0764, 7553.0503, 7918.2647]","[1424.3849, 1501.0364, 1486.3553]","[1306.4562, 1390.4266, 1339.2221]","[8791.4613, 9054.0867, 9404.62]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,8,artificial_n=50,102,102,5100,ours-cnf,scip,our-scip,62424,630108,1628836,10117.249700,8341.782800,8286.337700,18459.032500,"[10117.2497, 9931.9867, 11173.8887]","[8341.7828, 7968.9347, 11146.7593]","[8286.3377, 7901.7873, 11073.3021]","[18459.0325, 17900.9214, 22320.648]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,8,artificial_n=50,102,102,5100,demaine-a-f,cadical195,demaine-cadical,25500,663764,9684004,3906.245400,20.270000,1.054900,3926.515400,"[3853.1108, 3906.2454, 3955.5931]","[20.4494, 20.27, 19.1939]","[1.0549, 1.0253, 1.1086]","[3873.5602, 3926.5154, 3974.787]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,8,artificial_n=50,102,102,5100,demaine-a-f,scip,demaine-scip,25500,611392,9578084,24066.856200,22221.638600,22193.593300,47439.407300,"[25217.7687, 24066.8562, 22335.8334]","[22221.6386, 24783.8519, 20283.2614]","[22193.5933, 24761.0227, 20258.8856]","[47439.4073, 48850.7081, 42619.0948]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,8,artificial_n=50,102,102,5100,demaine-a-f,cp-sat,demaine-cpsat,25500,611392,9578084,33450.864400,14032.006400,13976.124700,48138.743800,"[32273.8226, 33450.8644, 41809.2148]","[14032.0064, 14687.8794, 9920.3574]","[13976.1247, 14211.3678, 9872.7258]","[46305.829, 48138.7438, 51729.5722]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
